date,url,title,title_clean,is_drc,year,is_conflict,has_emotional,has_personal,has_narrative,has_firstperson,drama_binary
2018-01-02 00:00:00.000,https://in.reuters.com/article/congo-protests/congos-top-catholic-slams-states-barbarism-after-deadly-protests-idINKBN1ER1JJ,,congos top catholic slams states barbarism after deadly protests,True,2018,True,1,0,0,0,1
2018-01-02 00:00:00.000,https://www.reuters.com/article/us-congo-protests/congos-top-catholic-slams-states-barbarism-after-deadly-protests-idUSKBN1ER1IW,,congos top catholic slams states barbarism after deadly protests,True,2018,True,1,0,0,0,1
2018-01-02 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congos-top-catholic-slams-states-barbarism-after-deadly-protests-idUKKBN1ER1JP,,congos top catholic slams states barbarism after deadly protests,True,2018,True,1,0,0,0,1
2018-01-19 00:00:00.000,https://www.reuters.com/article/us-congo-violence/at-least-a-dozen-congo-soldiers-killed-in-east-idUSKBN1F81YG,,at least a dozen congo soldiers killed in east,True,2018,True,0,0,0,0,0
2018-01-19 00:00:00.000,https://in.reuters.com/article/congo-violence/at-least-a-dozen-congo-soldiers-killed-in-east-idINKBN1F81YK,,at least a dozen congo soldiers killed in east,True,2018,True,0,0,0,0,0
2018-01-19 00:00:00.000,https://uk.reuters.com/article/uk-congo-violence/at-least-a-dozen-congo-soldiers-killed-in-east-idUKKBN1F81Z8,,at least a dozen congo soldiers killed in east,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://in.reuters.com/article/congo-protests/congolese-security-forces-kill-five-while-dispersing-anti-kabila-protest-idINKBN1FA0IV,,congolese security forces kill five while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congolese-security-forces-kill-three-while-dispersing-anti-kabila-protest-idUKKBN1FA0L9,,congolese security forces kill three while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://www.reuters.com/article/us-congo-protests/congolese-security-forces-kill-five-while-dispersing-anti-kabila-protest-idUSKBN1FA0KJ,,congolese security forces kill five while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://www.reuters.com/article/us-congo-protests/congolese-security-forces-kill-six-while-dispersing-anti-kabila-protest-idUSKBN1FA0KJ,,congolese security forces kill six while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://www.reuters.com/article/us-congo-protests/congolese-security-forces-kill-three-while-dispersing-anti-kabila-protest-idUSKBN1FA0KJ,,congolese security forces kill three while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congolese-security-forces-kill-six-while-dispersing-anti-kabila-protest-idUKKBN1FA0L9,,congolese security forces kill six while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congolese-security-forces-kill-five-while-dispersing-anti-kabila-protest-idUKKBN1FA0L9,,congolese security forces kill five while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://in.reuters.com/article/congo-protests/congolese-security-forces-kill-six-while-dispersing-anti-kabila-protest-idINKBN1FA0IV,,congolese security forces kill six while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-21 00:00:00.000,https://in.reuters.com/article/congo-protests/congolese-security-forces-kill-three-while-dispersing-anti-kabila-protest-idINKBN1FA0IV,,congolese security forces kill three while dispersing anti kabila protest,True,2018,True,0,0,0,0,0
2018-01-22 00:00:00.000,https://www.reuters.com/article/us-congo-protests-france/france-condemns-congolese-security-forces-after-six-killed-idUSKBN1FB1K3,,france condemns congolese security forces after six killed,True,2018,True,0,0,0,0,0
2018-01-23 00:00:00.000,https://in.reuters.com/article/congo-un/u-n-says-congo-forces-targeted-its-officials-during-deadly-protests-idINKBN1FC1MX,,u n says congo forces targeted its officials during deadly protests,True,2018,True,1,0,1,0,2
2018-01-23 00:00:00.000,https://www.reuters.com/article/us-congo-un/u-n-says-congo-forces-targeted-its-officials-during-deadly-protests-idUSKBN1FC1MJ,,u n says congo forces targeted its officials during deadly protests,True,2018,True,1,0,1,0,2
2018-01-26 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congos-kabila-denies-violence-against-protesters-silent-on-election-date-idUKKBN1FF26J,,congos kabila denies violence against protesters silent on election date,True,2018,True,0,0,0,0,0
2018-01-26 00:00:00.000,https://in.reuters.com/article/congo-protests/congos-kabila-denies-violence-against-protesters-silent-on-election-date-idINKBN1FF261,,congos kabila denies violence against protesters silent on election date,True,2018,True,0,0,0,0,0
2018-01-26 00:00:00.000,https://www.reuters.com/article/us-congo-protests/congos-kabila-denies-violence-against-protesters-silent-on-election-date-idUSKBN1FF26D,,congos kabila denies violence against protesters silent on election date,True,2018,True,0,0,0,0,0
2018-02-05 00:00:00.000,https://www.reuters.com/article/us-congo-rebel/congo-rebel-leader-extradited-from-tanzania-to-face-trial-idUSKBN1FP15M,,congo rebel leader extradited from tanzania to face trial,True,2018,True,0,0,0,0,0
2018-02-05 00:00:00.000,https://in.reuters.com/article/congo-violence/at-least-30-dead-in-ethnic-violence-in-northeast-congo-idINKBN1FP26Y,,at least 30 dead in ethnic violence in northeast congo,True,2018,True,0,0,0,0,0
2018-02-05 00:00:00.000,https://in.reuters.com/article/congo-rebel/congo-rebel-leader-extradited-from-tanzania-to-face-trial-idINKBN1FP28K,,congo rebel leader extradited from tanzania to face trial,True,2018,True,0,0,0,0,0
2018-02-05 00:00:00.000,https://uk.reuters.com/article/uk-congo-violence/at-least-30-dead-in-ethnic-violence-in-northeast-congo-idUKKBN1FP29F,,at least 30 dead in ethnic violence in northeast congo,True,2018,True,0,0,0,0,0
2018-02-12 00:00:00.000,https://uk.reuters.com/article/uk-congo-violence-un-usa/on-u-n-deaths-haley-asks-congos-kabila-what-happened-to-my-list-idUKKBN1FW2H6,,on u n deaths haley asks congos kabila what happened to my list,True,2018,True,0,0,0,0,0
2018-02-12 00:00:00.000,https://uk.reuters.com/article/uk-congo-violence-un-usa/on-un-deaths-haley-asks-congos-kabila-what-happened-to-my-list-idUKKBN1FW2H6,,on un deaths haley asks congos kabila what happened to my list,True,2018,True,0,0,0,0,0
2018-02-12 00:00:00.000,https://in.reuters.com/article/congo-violence-un-usa/on-u-n-deaths-haley-asks-congos-kabila-what-happened-to-my-list-idINKBN1FW2H0,,on u n deaths haley asks congos kabila what happened to my list,True,2018,True,0,0,0,0,0
2018-02-12 00:00:00.000,https://www.reuters.com/article/us-congo-violence-un-usa/on-u-n-deaths-haley-asks-congos-kabila-what-happened-to-my-list-idUSKBN1FW2H4,,on u n deaths haley asks congos kabila what happened to my list,True,2018,True,0,0,0,0,0
2018-02-13 00:00:00.000,https://in.reuters.com/article/congo-violence-un-usa/on-un-deaths-haley-asks-congos-kabila-what-happened-to-my-list-idINKBN1FW2H0,,on un deaths haley asks congos kabila what happened to my list,True,2018,True,0,0,0,0,0
2018-02-25 00:00:00.000,https://uk.reuters.com/article/uk-congo-protests/congo-police-kill-protester-in-church-led-march-against-kabila-idUKKCN1G90E8,,congo police kill protester in church led march against kabila,True,2018,True,0,0,0,0,0
2018-02-25 00:00:00.000,https://in.reuters.com/article/congo-protests/congo-police-kill-activist-in-church-led-march-against-kabila-idINKCN1G90DR,,congo police kill activist in church led march against kabila,True,2018,True,0,0,0,0,0
